Form,POS,Gender,Number,Case,Frequency
17,CD,,,,1
1949,CD,,,,1
1977,CD,,,,1
2015,CD,,,,1
a,DT,,,,10
according,VBG,,,,1
adventure,NN,,,,4
aim,NN,,,,1
all,DT,,,,2
an,DT,,,,3
analyses,NNS,,,,1
ancient,NN,,,,1
and,CC,,,,12
appears,VBZ,,,,1
are,VBP,,,,1
as,IN,,,,1
at,IN,,,,2
aunt,NN,,,,1
awakens,NNS,,,,1
base,NN,,,,1
based,VBN,,,,1
because,IN,,,,2
becoming,VBG,,,,1
been,VBN,,,,1
beginning,VBG,,,,1
biggest,JJS,,,,1
book,NN,,,,3
books,NNS,,,,1
both,DT,,,,1
but,CC,,,,3
by,IN,,,,1
c3po,NN,,,,1
call,NN,,,,2
called,VBN,,,,1
calls,NNS,,,,1
campbell,NN,,,,2
campbells,NNS,,,,2
can,MD,,,,1
challenge,NN,,,,2
change,NN,,,,1
changed,VBN,,,,1
changes,NNS,,,,1
closely,RB,,,,1
comes,VBZ,,,,2
consists,NNS,,,,1
course,NN,,,,1
cover,NN,,,,1
critics,NNS,,,,1
cross,NN,,,,1
culture,NN,,,,1
darth,NN,,,,2
death,NN,,,,3
decide,NN,,,,1
defeat,NN,,,,1
defeats,NNS,,,,1
describe,NN,,,,1
directly,RB,,,,1
director,NN,,,,1
directors,NNS,,,,1
early,RB,,,,1
editions,NNS,,,,1
enemies,NNS,,,,2
enemy,NN,,,,2
episode,NN,,,,1
even,RB,,,,1
every,DT,,,,1
everything,NN,,,,1
except,IN,,,,1
experience,NN,,,,1
experiences,NNS,,,,1
face,NN,,,,2
faces,VBZ,,,,1
facing,VBG,,,,1
fact,NN,,,,1
featured,VBN,,,,1
fighting,VBG,,,,1
film,NN,,,,4
films,NNS,,,,2
finally,RB,,,,1
find,VB,,,,1
finds,NNS,,,,1
first,RB,,,,3
follow,VB,,,,1
for,IN,,,,2
force,NN,,,,2
forever,RB,,,,1
friends,NNS,,,,2
from,IN,,,,5
front,NN,,,,1
george,NN,,,,2
gives,VBZ,,,,1
greatest,JJS,,,,1
greeks,NNS,,,,1
han,NN,,,,1
happens,NNS,,,,2
harry,NN,,,,1
has,VBZ,,,,1
have,VB,,,,1
he,PRP,,,,6
heart,NN,,,,1
help,NN,,,,1
helps,NNS,,,,2
hero,NN,,,,10
heroes,NNS,,,,1
heros,NNS,,,,1
him,PRP,,,,2
his,PRP$,,,,8
hollywood,NN,,,,1
home,NN,,,,1
ideas,NNS,,,,1
in,IN,,,,7
inside,IN,,,,2
into,IN,,,,2
is,VBZ,,,,4
it,PRP,,,,2
its,PRP$,,,,1
jedi,NN,,,,2
jk,NN,,,,1
joseph,NN,,,,1
journey,NN,,,,3
kenobi,NN,,,,1
kill,NN,,,,1
laser,NN,,,,1
later,RB,,,,2
leias,NN,,,,1
life,NN,,,,2
lives,NNS,,,,1
living,NN,,,,1
loses,NNS,,,,1
loss,NN,,,,1
lucas,NN,,,,2
luke,NN,,,,5
lukes,NNS,,,,1
meeting,NN,,,,1
mentor,NN,,,,4
message,NN,,,,1
mirrors,NNS,,,,1
moment,NN,,,,1
monomyth,NN,,,,1
myth,NN,,,,2
myths,NNS,,,,2
needs,NNS,,,,1
next,JJ,,,,2
obiwan,NN,,,,4
obstacles,NNS,,,,2
odyssey,NN,,,,1
of,IN,,,,12
off,IN,,,,1
often,RB,,,,1
on,IN,,,,7
one,CD,,,,1
or,CC,,,,1
ordinary,JJ,,,,2
over,IN,,,,1
overcomes,NNS,,,,2
passing,NN,,,,1
pattern,NN,,,,1
potter,NN,,,,1
predates,NNS,,,,1
predictable,JJ,,,,1
prepares,NNS,,,,1
princess,NN,,,,1
prize,NN,,,,1
r2d2,NN,,,,2
refuses,NNS,,,,1
remembers,NNS,,,,1
repairing,VBG,,,,1
restarts,NNS,,,,1
return,NN,,,,3
robot,NN,,,,1
robots,NNS,,,,2
rowlings,NNS,,,,1
saying,VBG,,,,1
see,VB,,,,1
sees,NNS,,,,1
sets,NNS,,,,1
short,JJ,,,,1
skywalker,NN,,,,1
so,RB,,,,1
solo,NN,,,,1
something,NN,,,,1
special,JJ,,,,3
stage,NN,,,,1
stages,NNS,,,,1
star,NN,,,,7
starts,NNS,,,,2
steps,NNS,,,,1
story,NN,,,,3
strength,NN,,,,2
structure,NN,,,,1
succeed,VB,,,,1
takes,VBZ,,,,1
tale,NN,,,,1
tests,NNS,,,,1
that,IN,,,,8
thats,NNS,,,,1
the,DT,,,,47
their,PRP$,,,,3
them,PRP,,,,3
there,RB,,,,1
they,PRP,,,,3
this,DT,,,,1
thousand,NN,,,,1
thousands,NNS,,,,1
threshold,NN,,,,1
time,NN,,,,1
to,TO,,,,15
told,NN,,,,1
travel,NN,,,,1
typically,RB,,,,1
uncle,NN,,,,1
unoriginal,JJ,,,,1
use,NN,,,,1
uses,NNS,,,,1
vader,NN,,,,2
very,RB,,,,1
vii,NN,,,,1
wars,NNS,,,,5
was,VBD,,,,1
way,NN,,,,1
when,WRB,,,,5
where,WRB,,,,2
which,WDT,,,,1
who,WP,,,,1
with,IN,,,,4
world,NN,,,,4
years,NNS,,,,1
yoda,NN,,,,1
you,PRP,,,,1
–,NN,,,,2
